draw,null_minp,argmin_method
702,0.2774,lsc_kalman_cusum
703,0.14915,lsc_tail_cusum
704,0.5535,lsc_tail_cusum
705,0.481,lsc_composite
706,0.2774,lsc_kalman_cusum
707,0.2774,lsc_kalman_cusum
708,0.2774,lsc_kalman_cusum
709,1.0,lsc_composite
710,0.1521,raw_cusum
711,0.1521,raw_cusum
712,0.10165,lsc_composite
713,0.5535,lsc_tail_cusum
714,0.5535,lsc_tail_cusum
715,0.5535,lsc_tail_cusum
716,0.1521,raw_cusum
717,0.481,lsc_composite
718,0.1521,raw_cusum
719,0.10165,lsc_composite
720,0.14915,lsc_tail_cusum
721,0.481,lsc_composite
722,0.481,lsc_composite
723,0.10165,lsc_composite
724,0.14915,lsc_tail_cusum
725,0.14915,lsc_tail_cusum
726,0.1492,raw_var_cusum
727,0.481,lsc_composite
728,0.481,lsc_composite
729,0.481,lsc_composite
730,0.2774,lsc_kalman_cusum
731,0.481,lsc_composite
732,0.14915,lsc_tail_cusum
733,0.14915,lsc_tail_cusum
734,0.10165,lsc_composite
735,0.2774,lsc_kalman_cusum
736,0.5535,lsc_tail_cusum
737,0.5619,raw_var_cusum
738,0.481,lsc_composite
739,0.1492,raw_var_cusum
740,0.1521,raw_cusum
741,0.10165,lsc_composite
742,0.5619,raw_var_cusum
743,0.1492,raw_var_cusum
744,0.481,lsc_composite
745,0.1521,raw_cusum
746,0.481,lsc_composite
747,0.5619,raw_var_cusum
748,0.14915,lsc_tail_cusum
749,0.10165,lsc_composite
750,0.481,lsc_composite
751,0.481,lsc_composite
752,0.1521,raw_cusum
753,0.2774,lsc_kalman_cusum
754,0.10165,lsc_composite
755,0.2774,lsc_kalman_cusum
756,0.5535,lsc_tail_cusum
757,0.14915,lsc_tail_cusum
758,0.2774,lsc_kalman_cusum
759,0.481,lsc_composite
760,0.1521,raw_cusum
761,0.1492,raw_var_cusum
762,0.14915,lsc_tail_cusum
763,1.0,lsc_composite
764,0.0183,raw_var_cusum
765,0.14915,lsc_tail_cusum
766,0.10165,lsc_composite
767,0.481,lsc_composite
768,0.5535,lsc_tail_cusum
769,0.0183,raw_var_cusum
770,0.1521,raw_cusum
771,0.14915,lsc_tail_cusum
772,0.481,lsc_composite
773,0.481,lsc_composite
774,0.481,lsc_composite
775,0.481,lsc_composite
776,0.1521,raw_cusum
777,0.5535,lsc_tail_cusum
778,0.1521,raw_cusum
779,0.5619,raw_var_cusum
780,1.0,lsc_composite
781,0.481,lsc_composite
782,0.10165,lsc_composite
783,0.10165,lsc_composite
784,1.0,lsc_composite
785,0.5535,lsc_tail_cusum
786,0.1492,raw_var_cusum
787,0.2774,lsc_kalman_cusum
788,0.2774,lsc_kalman_cusum
789,0.5535,lsc_tail_cusum
790,0.1492,raw_var_cusum
791,0.5619,raw_var_cusum
792,0.2774,lsc_kalman_cusum
793,0.2774,lsc_kalman_cusum
794,0.5535,lsc_tail_cusum
795,0.10165,lsc_composite
796,0.481,lsc_composite
797,0.2774,lsc_kalman_cusum
798,0.2774,lsc_kalman_cusum
799,0.1492,raw_var_cusum
800,0.5619,raw_var_cusum
801,0.14915,lsc_tail_cusum
802,0.1492,raw_var_cusum
803,0.14915,lsc_tail_cusum
804,0.1521,raw_cusum
