t,Y,raw_var_cusum_score
3.890000000000000000e+02,5.343213665623560704e-01,3.048017323166099004e+02
3.900000000000000000e+02,3.299158472617544469e+00,3.126675886533395214e+02
3.910000000000000000e+02,4.837149524559133384e-01,3.119205955066158822e+02
3.920000000000000000e+02,-1.596975696634104214e+00,3.124316668107446731e+02
3.930000000000000000e+02,6.230876209322866455e-01,3.118319401190146323e+02
3.940000000000000000e+02,1.965750287163680721e+00,3.141399463985746365e+02
3.950000000000000000e+02,7.836007475505538666e-01,3.137458439017436262e+02
3.960000000000000000e+02,1.605799675094331302e+00,3.150096294092472817e+02
3.970000000000000000e+02,9.772003813659954630e-02,3.140065267748672113e+02
3.980000000000000000e+02,2.363158860948677553e+00,3.176926442428473365e+02
3.990000000000000000e+02,1.147679455232820667e+00,3.179078622415981954e+02
4.000000000000000000e+02,2.650091314297362111e+00,3.227359241449112233e+02
4.010000000000000000e+02,1.030251644386228627e+00,3.227329419343490713e+02
4.020000000000000000e+02,6.559120743283503030e-01,3.221721284116045467e+02
4.030000000000000000e+02,-2.193520876361141791e+00,3.242389993955845853e+02
4.040000000000000000e+02,9.093860824062591774e-01,3.240329812349421559e+02
4.050000000000000000e+02,1.731983772488898676e+00,3.256407551275755168e+02
4.060000000000000000e+02,3.291124907487064100e-03,3.246089458080136296e+02
