model,rep,alarmed,hit,alarm_time,attrib_time,attrib_feature
arima,161,False,False,,460,variance_pressure
kalman,162,True,True,450.0,450,variance_pressure
arima,162,True,True,454.0,454,variance_pressure
kalman,163,True,True,326.0,326,variance_pressure
arima,163,True,True,394.0,394,variance_pressure
kalman,164,True,True,395.0,395,variance_pressure
arima,164,False,False,,489,variance_pressure
kalman,165,True,True,451.0,451,variance_pressure
arima,165,False,False,,400,variance_pressure
kalman,166,True,True,387.0,387,variance_pressure
arima,166,True,True,456.0,456,variance_pressure
kalman,167,False,False,,451,variance_pressure
arima,167,False,False,,460,variance_pressure
kalman,168,True,True,351.0,351,variance_pressure
arima,168,True,True,400.0,400,variance_pressure
kalman,169,True,True,326.0,326,variance_pressure
arima,169,True,True,456.0,456,variance_pressure
kalman,170,True,True,451.0,451,variance_pressure
arima,170,False,False,,489,variance_pressure
kalman,171,True,True,443.0,443,variance_pressure
arima,171,False,False,,460,variance_pressure
kalman,172,False,False,,490,variance_pressure
arima,172,False,False,,174,break_pressure
kalman,173,True,True,443.0,443,variance_pressure
arima,173,False,False,,489,variance_pressure
kalman,174,True,True,441.0,441,variance_pressure
arima,174,False,False,,489,variance_pressure
kalman,175,True,True,443.0,443,variance_pressure
arima,175,True,True,271.0,271,break_pressure
kalman,176,True,True,344.0,344,variance_pressure
arima,176,True,True,394.0,394,variance_pressure
kalman,177,True,True,351.0,351,variance_pressure
arima,177,True,True,456.0,456,variance_pressure
kalman,178,True,True,448.0,448,variance_pressure
arima,178,False,False,,460,variance_pressure
kalman,179,True,True,441.0,441,variance_pressure
arima,179,False,False,,456,variance_pressure
kalman,180,True,True,395.0,395,variance_pressure
arima,180,False,False,,456,variance_pressure
kalman,181,True,True,451.0,451,variance_pressure
arima,181,False,False,,460,variance_pressure
kalman,182,True,True,395.0,395,variance_pressure
arima,182,False,False,,456,variance_pressure
kalman,183,True,True,351.0,351,variance_pressure
arima,183,True,True,456.0,456,variance_pressure
kalman,184,True,True,322.0,322,variance_pressure
arima,184,True,True,399.0,399,variance_pressure
kalman,185,True,True,345.0,345,variance_pressure
arima,185,True,True,456.0,456,variance_pressure
kalman,186,True,True,451.0,451,variance_pressure
arima,186,False,False,,460,variance_pressure
kalman,187,True,True,448.0,448,variance_pressure
arima,187,False,False,,456,variance_pressure
kalman,188,True,True,322.0,322,variance_pressure
arima,188,True,True,456.0,456,variance_pressure
kalman,189,True,True,326.0,326,variance_pressure
arima,189,True,True,456.0,456,variance_pressure
kalman,190,True,True,441.0,441,variance_pressure
arima,190,False,False,,456,variance_pressure
kalman,191,True,True,450.0,450,variance_pressure
arima,191,False,False,,489,variance_pressure
kalman,192,True,True,387.0,387,variance_pressure
arima,192,False,False,,456,variance_pressure
kalman,193,True,True,252.0,252,state_shift_pressure
arima,193,False,False,,495,state_shift_pressure
kalman,194,False,False,,494,variance_pressure
arima,194,False,False,,489,variance_pressure
kalman,195,False,False,,490,variance_pressure
arima,195,False,False,,460,variance_pressure
kalman,196,True,True,443.0,443,variance_pressure
arima,196,False,False,,460,variance_pressure
kalman,197,True,True,322.0,322,variance_pressure
arima,197,True,True,456.0,456,variance_pressure
kalman,198,True,True,351.0,351,variance_pressure
arima,198,True,False,182.0,182,break_pressure
kalman,199,True,True,451.0,451,variance_pressure
arima,199,False,False,,460,variance_pressure
kalman,200,True,True,443.0,443,variance_pressure
arima,200,False,False,,456,variance_pressure
kalman,201,False,False,,451,variance_pressure
arima,201,True,True,294.0,294,instability
kalman,202,True,True,326.0,326,variance_pressure
arima,202,True,True,394.0,394,variance_pressure
kalman,203,False,False,,490,variance_pressure
arima,203,False,False,,489,variance_pressure
kalman,204,False,False,,451,variance_pressure
arima,204,False,False,,460,variance_pressure
kalman,205,True,True,400.0,400,variance_pressure
arima,205,False,False,,489,variance_pressure
kalman,206,True,True,407.0,407,state_shift_pressure
arima,206,True,True,477.0,477,state_shift_pressure
kalman,207,True,True,351.0,351,variance_pressure
arima,207,False,False,,456,variance_pressure
kalman,208,True,True,443.0,443,variance_pressure
arima,208,False,False,,456,variance_pressure
kalman,209,True,True,400.0,400,variance_pressure
arima,209,False,False,,460,variance_pressure
kalman,210,False,False,,451,variance_pressure
arima,210,False,False,,456,variance_pressure
kalman,211,True,True,463.0,463,break_pressure
arima,211,False,False,,456,variance_pressure
kalman,212,True,True,447.0,447,variance_pressure
arima,212,False,False,,456,variance_pressure
kalman,213,True,True,391.0,391,variance_pressure
arima,213,True,True,456.0,456,variance_pressure
kalman,214,True,True,448.0,448,variance_pressure
arima,214,False,False,,489,variance_pressure
kalman,215,True,True,343.0,343,variance_pressure
arima,215,True,True,350.0,350,variance_pressure
kalman,216,True,True,322.0,322,variance_pressure
arima,216,True,True,399.0,399,variance_pressure
kalman,217,True,True,387.0,387,variance_pressure
arima,217,False,False,,489,variance_pressure
kalman,218,True,True,398.0,398,variance_pressure
arima,218,True,True,399.0,399,break_pressure
kalman,219,True,True,443.0,443,variance_pressure
arima,219,False,False,,456,variance_pressure
kalman,220,True,True,395.0,395,variance_pressure
arima,220,False,False,,460,variance_pressure
kalman,221,False,False,,451,variance_pressure
arima,221,False,False,,490,variance_pressure
kalman,222,False,False,,483,state_shift_pressure
arima,222,False,False,,456,variance_pressure
kalman,223,True,True,400.0,400,variance_pressure
arima,223,True,True,424.0,424,variance_pressure
kalman,224,True,True,447.0,447,variance_pressure
arima,224,False,False,,456,variance_pressure
kalman,225,True,True,460.0,460,variance_pressure
arima,225,False,False,,460,variance_pressure
kalman,226,True,True,448.0,448,variance_pressure
arima,226,False,False,,489,variance_pressure
kalman,227,True,True,448.0,448,variance_pressure
arima,227,False,False,,456,variance_pressure
kalman,228,True,True,348.0,348,variance_pressure
arima,228,False,False,,460,variance_pressure
kalman,229,True,True,395.0,395,variance_pressure
arima,229,False,False,,489,variance_pressure
kalman,230,False,False,,494,variance_pressure
arima,230,False,False,,495,state_shift_pressure
kalman,231,False,False,,451,variance_pressure
arima,231,False,False,,456,variance_pressure
kalman,232,False,False,,496,variance_pressure
arima,232,False,False,,351,variance_pressure
kalman,233,True,True,322.0,322,variance_pressure
arima,233,False,False,,456,variance_pressure
kalman,234,False,False,,451,variance_pressure
arima,234,False,False,,456,variance_pressure
kalman,235,False,False,,490,variance_pressure
arima,235,False,False,,489,variance_pressure
kalman,236,True,True,387.0,387,variance_pressure
arima,236,False,False,,456,variance_pressure
kalman,237,True,True,448.0,448,variance_pressure
arima,237,True,True,271.0,271,break_pressure
kalman,238,False,False,,451,variance_pressure
arima,238,False,False,,456,variance_pressure
kalman,239,True,True,345.0,345,variance_pressure
arima,239,True,False,186.0,186,break_pressure
kalman,240,False,False,,451,variance_pressure
arima,240,False,False,,456,variance_pressure
kalman,241,True,True,441.0,441,variance_pressure
arima,241,False,False,,460,variance_pressure
kalman,242,True,True,448.0,448,variance_pressure
arima,242,False,False,,460,variance_pressure
kalman,243,True,True,319.0,319,variance_pressure
arima,243,True,True,394.0,394,variance_pressure
kalman,244,True,True,391.0,391,variance_pressure
arima,244,True,True,399.0,399,variance_pressure
kalman,245,False,False,,451,variance_pressure
arima,245,False,False,,460,variance_pressure
kalman,246,True,True,344.0,344,state_shift_pressure
arima,246,True,True,399.0,399,variance_pressure
kalman,247,True,True,490.0,490,variance_pressure
arima,247,False,False,,489,variance_pressure
kalman,248,True,True,451.0,451,variance_pressure
arima,248,False,False,,456,variance_pressure
kalman,249,True,True,441.0,441,variance_pressure
arima,249,False,False,,456,variance_pressure
kalman,250,True,True,348.0,348,variance_pressure
arima,250,True,True,456.0,456,variance_pressure
kalman,251,True,True,448.0,448,variance_pressure
arima,251,False,False,,489,variance_pressure
kalman,252,True,True,451.0,451,variance_pressure
arima,252,False,False,,460,variance_pressure
kalman,253,True,True,351.0,351,variance_pressure
arima,253,False,False,,460,variance_pressure
kalman,254,True,True,441.0,441,variance_pressure
arima,254,False,False,,460,variance_pressure
kalman,255,True,True,349.0,349,variance_pressure
arima,255,False,False,,460,variance_pressure
kalman,256,True,False,230.0,230,state_shift_pressure
arima,256,True,True,300.0,300,break_pressure
kalman,257,True,True,443.0,443,variance_pressure
arima,257,False,False,,456,variance_pressure
kalman,258,True,True,448.0,448,variance_pressure
arima,258,False,False,,456,variance_pressure
kalman,259,True,True,447.0,447,variance_pressure
arima,259,False,False,,460,variance_pressure
kalman,260,True,True,443.0,443,variance_pressure
arima,260,False,False,,460,variance_pressure
kalman,261,True,True,319.0,319,variance_pressure
